goos: linux
goarch: amd64
pkg: github.com/hyperlocalise/rain-orm/pkg/rain
cpu: Intel(R) Xeon(R) Processor @ 2.30GHz
BenchmarkSQLiteRichSubqueryJoinScan/small-4               	    4438	    263104 ns/op	    4440 B/op	     133 allocs/op
BenchmarkSQLiteRichSubqueryJoinScan/small-4               	    4490	    262648 ns/op	    4440 B/op	     133 allocs/op
BenchmarkSQLiteRichSubqueryJoinScan/medium-4              	     597	   1962832 ns/op	   21800 B/op	     854 allocs/op
BenchmarkSQLiteRichSubqueryJoinScan/medium-4              	     609	   1970892 ns/op	   21800 B/op	     854 allocs/op
BenchmarkSQLiteRichSubqueryJoinScan/medium-4              	     603	   1995895 ns/op	   21800 B/op	     854 allocs/op
BenchmarkSQLiteRichSubqueryJoinScan/large-4               	      66	  18664996 ns/op	   41096 B/op	    1654 allocs/op
BenchmarkSQLiteRichSubqueryJoinScan/large-4               	      62	  19618349 ns/op	   41096 B/op	    1654 allocs/op
BenchmarkSQLiteRichSubqueryJoinScan/large-4               	      62	  18443209 ns/op	   41096 B/op	    1654 allocs/op
BenchmarkSQLiteRichSelectWithNestedRelations/small-4      	    1078	   1066536 ns/op	  150969 B/op	    2891 allocs/op
BenchmarkSQLiteRichSelectWithNestedRelations/small-4      	    1089	   1074398 ns/op	  150969 B/op	    2891 allocs/op
BenchmarkSQLiteRichSelectWithNestedRelations/small-4      	    1098	   1085074 ns/op	  150968 B/op	    2891 allocs/op
BenchmarkSQLiteRichSelectWithNestedRelations/medium-4     	     141	   8213334 ns/op	 1442551 B/op	   27229 allocs/op
BenchmarkSQLiteRichSelectWithNestedRelations/medium-4     	     142	   8621647 ns/op	 1442558 B/op	   27229 allocs/op
BenchmarkSQLiteRichSelectWithNestedRelations/medium-4     	     142	   8451914 ns/op	 1442556 B/op	   27229 allocs/op
BenchmarkSQLiteRichSelectWithNestedRelations/large-4      	     139	   8959359 ns/op	 1476593 B/op	   27782 allocs/op
BenchmarkSQLiteRichSelectWithNestedRelations/large-4      	     138	   8446206 ns/op	 1476585 B/op	   27782 allocs/op
BenchmarkSQLiteRichSelectWithNestedRelations/large-4
